RPM\MAP,20,35,49,64,79,93,108,123,137,152,167,181,196,211,225,240
7000,58.5,62.4,66.1,69.2,70.8,72.1,73.1,74.1,74.9,75.8,76.9,77.8,78.7,79.5,80.4,81.2
6658,58.0,61.9,65.6,68.7,70.4,71.9,73.0,74.0,74.9,75.9,76.9,77.7,78.6,79.5,80.4,81.2
6316,57.5,61.4,65.1,68.3,70.1,71.7,72.8,73.8,74.6,75.7,76.9,77.7,78.5,79.4,80.3,81.2
5974,56.9,60.8,64.5,67.8,69.8,71.5,72.6,73.7,74.6,75.8,76.8,77.6,78.4,79.3,80.1,81.1
5632,56.3,60.3,64.0,67.4,69.4,71.1,72.4,73.6,74.5,75.5,76.6,77.3,78.2,79.0,79.8,80.7
5289,56.0,59.9,63.6,67.0,69.1,70.8,72.2,73.3,74.3,77.2,76.3,77.0,77.8,78.6,79.4,80.3
4947,55.5,59.4,63.1,66.6,68.8,70.6,72.0,73.1,74.1,76.5,77.5,76.6,77.3,78.1,78.9,79.9
4605,54.8,58.7,62.4,66.0,68.3,70.3,71.6,72.7,73.7,75.4,75.3,76.1,76.7,77.5,78.4,79.4
4263,54.1,58.1,61.8,69.3,71.4,69.9,71.2,72.2,73.1,74.1,74.7,75.5,76.0,76.9,77.7,78.6
3921,53.6,57.6,61.4,67.8,69.8,71.6,73.2,74.5,75.7,76.6,77.2,77.5,77.6,77.3,76.8,77.7
3579,51.1,57.7,61.0,67.6,69.2,71.2,72.1,70.8,71.7,72.4,73.2,73.7,74.3,75.1,75.9,76.9
3237,51.3,55.9,59.3,64.2,67.5,70.6,69.3,70.2,70.9,71.7,72.3,72.9,73.6,74.3,75.0,76.0
2895,46.1,51.6,57.7,62.3,66.4,69.5,68.2,69.0,69.6,70.2,70.9,71.6,72.3,73.2,74.2,75.1
2553,44.3,46.4,57.1,59.8,66.7,68.5,67.1,67.8,68.4,69.0,69.7,70.4,71.2,72.2,73.1,74.0
2211,42.2,44.8,56.2,59.6,64.7,66.7,65.9,66.5,67.0,67.5,68.2,69.1,69.9,71.0,72.1,72.9
1868,41.6,43.4,54.6,59.5,62.7,64.4,64.6,65.0,65.6,66.2,66.9,67.7,68.8,69.8,71.0,71.9
1526,42.8,43.4,45.1,57.9,61.4,62.9,63.1,63.5,64.1,64.7,65.3,66.3,67.4,68.6,69.8,70.8
1184,42.5,43.3,44.2,53.3,59.8,61.6,61.5,61.6,62.1,62.7,63.7,64.8,66.0,67.3,68.4,69.7
842,38.4,39.0,42.0,47.8,56.7,59.4,59.4,59.3,59.7,60.6,61.9,63.1,64.5,65.8,67.1,68.4
500,37.3,37.9,40.4,45.5,54.2,56.4,56.7,56.8,57.4,58.5,60.0,61.3,62.8,64.4,65.7,67.3